SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
AP009061.1	perenurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_008684.1	percnurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP009150.1	percnurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_015362.1	percnurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_027273.1	oxycephalus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
KP641342.1	oxycephalus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AB626852.1	jouyi	Rhynchocypris	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_018818.1	oxycephalus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_019614.1	kumgangensis	Rhynchocypris	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
JQ675733.1	kumgangensis	Rhynchocypris	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_018820.1	hakonensis	Tribolodon	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AB626855.1	hakonensis	Pseudaspius	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_018821.1	sachalinensis	Tribolodon	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AB626856.1	sachalinensis	Pseudaspius	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_018819.1	brandtii	Tribolodon	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AB626854.1	brandtii	Pseudaspius	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
